pipeline_name,state_name,label_space,group_id,k,units_total,duplicate_units,excess_duplicates_total,synergies_total,units_nsyn_gt_k,duplicate_pairs_total,within_unit_pairs_total,scope,duplicate_unit_rate,excess_duplicate_ratio,duplicate_pair_rate,units_nsyn_gt_k_rate,gap_statistic,gap_sd,objective_sse,point_to_centroid_sq_sum,point_to_centroid_sum,selected_k_flag,selection_rule,algorithm_used
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,3,53,42,84,233,38,105,444,group,0.7924528301886793,0.3605150214592275,0.23648648648648649,0.7169811320754716,0.7741528720266073,0.019993506587193458,103.52422201011866,103.52422201011875,151.6098405189235,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,4,53,36,59,233,26,64,444,group,0.6792452830188679,0.2532188841201717,0.14414414414414414,0.49056603773584906,0.8426587038761797,0.017188275083304987,92.0810186071719,92.08101860717187,142.92045232057998,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,5,53,27,44,233,10,48,444,group,0.5094339622641509,0.1888412017167382,0.10810810810810811,0.18867924528301888,0.8987378176177883,0.010126013112548196,83.63912173279175,83.63912173279179,135.82956218831836,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,6,53,20,30,233,3,31,444,group,0.37735849056603776,0.12875536480686695,0.06981981981981981,0.05660377358490566,0.97332570997549,0.014309398975783877,75.61907137699637,75.61907137699637,129.30549395555312,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,7,53,16,22,233,1,22,444,group,0.3018867924528302,0.0944206008583691,0.04954954954954955,0.018867924528301886,1.0391353188666068,0.014958253457810676,68.41443143217563,68.41443143217565,122.61276671225515,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,8,53,15,18,233,0,18,444,group,0.2830188679245283,0.07725321888412018,0.04054054054054054,0.0,1.0822057543078074,0.01600863206921493,64.4503198714445,64.45031987144455,118.79555460885938,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,9,53,7,9,233,0,9,444,group,0.1320754716981132,0.03862660944206009,0.02027027027027027,0.0,1.1210292250164295,0.015294103988701258,60.31422301064471,60.31422301064475,114.72487040855948,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,10,53,2,3,233,0,3,444,group,0.03773584905660377,0.012875536480686695,0.006756756756756757,0.0,1.1561039679628111,0.012694049981022758,56.469207846792415,56.46920784679245,110.98399895697375,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,53,3,3,233,0,3,444,group,0.05660377358490566,0.012875536480686695,0.006756756756756757,0.0,1.2090112557201085,0.01375137118004839,52.98229767337156,52.98229767337159,107.96655609303346,true,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,12,53,4,4,233,0,4,444,group,0.07547169811320754,0.017167381974248927,0.009009009009009009,0.0,1.21159108478468,0.02016785309565714,51.70765719369531,51.70765719369534,106.49262121253548,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,13,53,1,1,233,0,1,444,group,0.018867924528301886,0.004291845493562232,0.0022522522522522522,0.0,1.2545254006361,0.015643944593831987,49.22221159886587,49.22221159886588,103.81243116815413,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,14,53,0,0,233,0,0,444,group,0.0,0.0,0.0,0.0,1.2585889191028232,0.008599768904080169,48.55663606677691,48.55663606677693,103.09840667012875,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,15,53,2,2,233,0,2,444,group,0.03773584905660377,0.008583690987124463,0.0045045045045045045,0.0,1.266830677640793,0.016220249445831694,46.603685431218956,46.60368543121894,101.12145652607862,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,16,53,1,1,233,0,1,444,group,0.018867924528301886,0.004291845493562232,0.0022522522522522522,0.0,1.2751805734120785,0.032022285778947536,45.46992994964173,45.46992994964173,99.57493080641491,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,17,53,1,1,233,0,1,444,group,0.018867924528301886,0.004291845493562232,0.0022522522522522522,0.0,1.274905235668903,0.016227793955318752,44.482185326679776,44.48218532667976,98.82464347676967,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,18,53,0,0,233,0,0,444,group,0.0,0.0,0.0,0.0,1.304621494889707,0.023718479476010846,43.2146293091985,43.21462930919847,97.1430115675355,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,19,53,1,1,233,0,1,444,group,0.018867924528301886,0.004291845493562232,0.0022522522522522522,0.0,1.303974072022338,0.02076028674013568,42.53990162537082,42.539901625370824,96.33810435873617,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,20,53,0,0,233,0,0,444,group,0.0,0.0,0.0,0.0,1.3283246366476993,0.03141892401871386,41.594393299697416,41.59439329969741,95.33352730505439,false,gap_statistic_first_k_ge_gap_next_minus_sd,
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,72,18,19,260,0,19,361,group,0.25,0.07307692307692308,0.05263157894736842,0.0,NaN,NaN,82.75664989804471,82.75664978041678,142.3986611614935,true,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_nonstep,6,72,17,18,260,0,18,361,group,0.2361111111111111,0.06923076923076923,0.04986149584487535,0.0,NaN,NaN,78.26383473185287,78.26383470086513,138.47927149958238,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_nonstep,7,72,16,16,260,0,16,361,group,0.2222222222222222,0.06153846153846154,0.0443213296398892,0.0,NaN,NaN,74.11549468273874,74.1154945385851,135.00381884941194,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_nonstep,8,72,17,18,260,0,18,361,group,0.2361111111111111,0.06923076923076923,0.04986149584487535,0.0,NaN,NaN,71.08663609404569,71.08663621365231,132.07786931317418,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_nonstep,9,72,4,4,260,0,4,361,group,0.05555555555555555,0.015384615384615385,0.0110803324099723,0.0,NaN,NaN,68.39858109876371,68.39858124245441,129.44383053177577,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_nonstep,10,72,7,7,260,0,7,361,group,0.09722222222222222,0.026923076923076925,0.019390581717451522,0.0,NaN,NaN,65.93416110471158,65.93416116038101,127.18541575743728,false,production_first_zero_duplicate_post_force,sklearn_kmeans
